DATE,MATERIAL_NAME,STOCK,total_forecast,trend_slope,stock_to_forecast_ratio,recommendation
2024-02-29,MAT-0200,600,3.5995308589671486,0.0125429534284241,166.68838898971526,Monitor
2024-04-30,MAT-0192,23375,182.79355577379317,0.1638433407028312,127.87649926196816,Monitor
2024-04-30,MAT-0242,50,359.23178145537867,1.3361334923439567,0.1391859033113156,Buy More
2024-05-31,MAT-0131,1375,216.25958622795832,-0.1545127183509237,6.35809965228833,Monitor
2024-05-31,MAT-0222,2750,-46.80754445966175,0.0939523548662908,-58.75121268901258,Monitor
2024-06-30,MAT-0259,500,167.83459649567766,-0.0712080637118977,2.979123556404992,Monitor
2024-06-30,MAT-0103,2525,-14.071106730539302,0.0535650751322882,-179.44572863766663,Monitor
2024-07-31,MAT-0023,5500,107.83877627264256,0.1323146718216415,51.00206243155678,Monitor
2024-07-31,MAT-0154,8250,453.014447918235,0.5920379336939188,18.211339699896392,Monitor
2024-08-31,MAT-0269,2750,81.64090071510724,0.1140371795502248,33.68409676904908,Monitor
2024-08-31,MAT-0406,1300,280.50000799032085,7.719761116290083e-12,4.634580973148703,Monitor
2024-08-31,MAT-0205,157,1.8000001158820749,1.6824148911627366e-15,87.2222166069492,Monitor
2024-08-31,MAT-0054,0,72.71823993276311,0.0002321636490168,0.0,Monitor
2024-08-31,MAT-0215,6475,273.37446648715263,1.8999282658861572,23.685460032911653,Monitor
2024-09-30,MAT-0048,50,1.3200000670702823,3.2025664171879506e-18,37.87878595413571,Monitor
2024-09-30,MAT-0036,12325,591.4490106381808,-0.3022214996741574,20.838651816664928,Monitor
2024-09-30,MAT-0404,19250,607.0948862553007,-0.0422865932502847,31.708387660351377,Monitor
2024-09-30,MAT-0004,22500,15.8635703338026,0.0006181694990578,1418.3440125112493,Monitor
2024-10-31,MAT-0123,1125,36.56317063118254,0.2767777356578239,30.76866640883039,Monitor
2024-10-31,MAT-0304,975,460.11769203492076,-0.3831461269770472,2.1190230605738196,Monitor
2024-10-31,MAT-0117,7475,80.65648840608196,0.0077956047935413,92.67698293986652,Monitor
2024-10-31,MAT-0230,12325,222.6620257163418,0.0176793444686853,55.3529501061008,Monitor
2024-10-31,MAT-0305,1350,562.6481389549646,-0.0138135851559613,2.399368106873018,Monitor
2024-10-31,MAT-0383,10825,118.56523680681516,0.1909967584335174,91.29994837894826,Monitor
2024-10-31,MAT-0396,24750,106.65573528477111,0.2211047407707337,232.05503139533408,Monitor
2024-11-30,MAT-0275,1375,-439.6801447575822,0.236003643541812,-3.127273351763716,Monitor
